"","event.id","predicted","NOISE","X045","X085","original","correct"
"375","2613","NOISE",0.9807,0.0036,0.0157,"NOISE",TRUE
"376","2614","NOISE",0.9763,0.0061,0.0176,"NOISE",TRUE
"377","2615","NOISE",0.9631,0.0291,0.0078,"NOISE",TRUE
"378","2617","NOISE",0.9852,0.0042,0.0106,"NOISE",TRUE
"379","2618","NOISE",0.9772,0.0062,0.0166,"NOISE",TRUE
"380","2619","NOISE",0.9998,0,2e-04,"NOISE",TRUE
"381","2621","NOISE",0.996,7e-04,0.0033,"NOISE",TRUE
"382","2628","NOISE",0.9906,0.0028,0.0066,"NOISE",TRUE
"383","2639","NOISE",0.9999,0,1e-04,"NOISE",TRUE
"384","2640","NOISE",0.9329,0.022,0.0451,"NOISE",TRUE
"385","2641","NOISE",0.927,0.0224,0.0506,"NOISE",TRUE
"386","2643","NOISE",0.9931,9e-04,0.006,"NOISE",TRUE
"387","2644","NOISE",0.9979,4e-04,0.0017,"NOISE",TRUE
"388","2678","NOISE",0.9996,1e-04,3e-04,"NOISE",TRUE
"389","2679","NOISE",0.9987,4e-04,9e-04,"NOISE",TRUE
"390","2698","NOISE",0.9295,0.0229,0.0476,"NOISE",TRUE
"391","2710","NOISE",0.9979,4e-04,0.0017,"NOISE",TRUE
"392","2711","NOISE",0.9869,0.003,0.0101,"NOISE",TRUE
